date,all,no_mask
2023/3/20 10:00,40,3
2023/3/20 10:00,50,3
2023/3/20 10:00,60,9
2023/3/21 12:00,16,5
2023/3/21 12:00,78,11
2023/3/21 12:00,19,4
2023/3/21 12:00,27,6
2023/3/21 12:00,39,5
2023/3/21 12:00,33,9
2023/3/21 12:00,37,3
2023/3/21 12:00,40,4
2023/3/21 12:00,48,7
2023/3/21 12:00,21,5
2023/3/21 12:00,17,4
2023/3/21 21:00,41,12
2023/3/21 21:00,45,13
2023/3/22 10:00,36,14
2023/3/22 10:00,38,9
2023/3/22 10:00,32,10
2023/3/22 10:00,23,6
2023/3/22 22:00,72,19
2023/3/22 22:00,48,15
2023/3/22 22:00,20,9
2023/3/22 22:00,21,8
2023/3/22 22:00,22,7
2023/3/22 22:00,35,12
2023/3/22 22:00,17,11
2023/3/22 22:00,28,10
2023/3/22 22:00,20,9
2023/3/22 22:00,18,5
2023/3/22 22:00,22,4
2023/3/22 22:00,18,8
2023/3/22 22:00,16,6
2023/3/23 10:00,25,8
2023/3/23 10:00,30,12
2023/3/23 10:00,35,6
2023/3/23 10:00,33,11
2023/3/23 10:00,45,13
2023/3/23 10:00,47,9
2023/3/23 10:00,46,8
2023/3/23 10:00,50,13
2023/3/23 23:00,485,192
2023/3/23 23:00,31,10
2023/03/24 18:00,470,83
2023/03/24 22:00,327,125
2023/3/25 11:00,521,161
2023/3/25 18:00,332,116
2023/3/25 22:00,451,147
2023/3/26 16:00,449,181
2023/3/26 21:00,419,188
2023/3/27 19:00,232,64
2023/3/27 23:00,219,82
2023/3/28 22:00,365,95
2023/3/29 11:00,245,49
2023/3/29 22:00,652,254
2023/3/30 13:00,522,156
2023/3/31 10:00,334,90
2023/3/31 22:00,787,313
